id,idvt_interacao,id_vt,id_interacao
0,1,1,36
1,2,1,16
2,3,1,15
3,4,1,34
4,5,2,35
5,6,2,23
6,7,2,20
7,8,2,25
8,9,2,10
9,10,2,11
